,country,cluster_id,competitor_entry_date
54,country_38,ID_3050,2004-09-01
55,country_24,ID_2105,2018-02-01
56,country_31,ID_2598,2022-04-01
57,country_20,ID_1700,2012-04-01
58,country_34,ID_3362,2023-09-01
59,country_18,ID_1630,2019-06-01
60,country_40,ID_3011,2024-06-01
61,country_13,ID_1293,2002-08-01
62,country_20,ID_1734,2003-11-01
63,country_18,ID_1635,2014-01-01
64,country_4,ID_320,2022-01-01
65,country_35,ID_1176,2010-09-01
66,country_34,ID_3341,2001-03-01
67,country_36,ID_2682,2021-06-01
68,country_21,ID_1837,2006-09-01
69,country_4,ID_320,2016-06-01
70,country_6,ID_504,2023-10-01
71,country_20,ID_1706,2006-05-01
72,country_38,ID_3078,1998-08-01
73,country_6,ID_510,2020-11-01
74,country_21,ID_1811,2000-10-01
75,country_4,ID_359,2003-06-01
76,country_35,ID_1206,2023-05-01
78,country_32,ID_2754,2019-05-01
79,country_31,ID_2605,2023-07-01
80,country_22,ID_1937,2019-06-01
81,country_15,ID_959,2020-09-01
82,country_31,ID_2602,2022-01-01
83,country_36,ID_2697,2022-08-01
84,country_21,ID_1854,2011-04-01
85,country_4,ID_364,2022-03-01
86,country_16,ID_1453,2015-09-01
87,country_14,ID_1374,2018-10-01
88,country_42,ID_3177,2016-07-01
89,country_2,ID_95,2006-12-01
90,country_21,ID_1836,2016-08-01
91,country_10,ID_865,2020-03-01
92,country_42,ID_3171,2018-01-01
93,country_0,ID_39,2019-04-01
94,country_41,ID_3238,2009-12-01
95,country_42,ID_3158,2012-02-01
96,country_32,ID_2783,1998-07-01
97,country_41,ID_3249,2009-09-01
98,country_14,ID_1352,1995-04-01
99,country_32,ID_2732,2005-04-01
100,country_16,ID_1445,2020-09-01
101,country_38,ID_3055,2014-07-01
102,country_22,ID_1917,2017-10-01
103,country_4,ID_329,2016-08-01
104,country_32,ID_2773,2020-08-01
105,country_16,ID_1445,2016-01-01
106,country_29,ID_2452,2020-10-01
107,country_42,ID_3160,1996-10-01
108,country_38,ID_3076,2003-02-01
109,country_16,ID_1504,2022-08-01
110,country_42,ID_3198,2022-12-01
111,country_6,ID_496,2008-09-01
112,country_35,ID_1181,2016-01-01
113,country_20,ID_1731,1999-11-01
114,country_6,ID_509,2021-07-01
115,country_32,ID_2788,1999-07-01
116,country_18,ID_1612,2019-11-01
117,country_4,ID_338,2013-05-01
118,country_16,ID_1492,2022-03-01
120,country_35,ID_1183,2022-05-01
121,country_21,ID_1841,2019-01-01
122,country_16,ID_1458,2018-06-01
123,country_21,ID_1884,2012-03-01
124,country_37,ID_605,2011-11-01
125,country_0,ID_16,2011-12-01
126,country_14,ID_1356,2022-09-01
127,country_35,ID_1238,2021-12-01
128,country_6,ID_501,2022-11-01
129,country_42,ID_3159,2000-06-01
130,country_35,ID_1190,1991-01-01
131,country_41,ID_3259,2005-08-01
132,country_15,ID_939,2009-02-01
133,country_42,ID_3198,2021-05-01
134,country_37,ID_603,2008-06-01
135,country_14,ID_1405,2018-05-01
136,country_18,ID_1629,2010-09-01
137,country_20,ID_1704,2000-09-01
138,country_41,ID_3250,2008-12-01
139,country_35,ID_1181,2001-03-01
140,country_31,ID_2609,2018-11-01
141,country_10,ID_868,2025-01-01
142,country_36,ID_2711,2014-02-01
143,country_31,ID_2585,2025-01-01
144,country_7,ID_680,2006-11-01
145,country_5,ID_445,2018-09-01
146,country_35,ID_1200,2023-04-01
147,country_16,ID_1494,2020-06-01
148,country_16,ID_1449,2015-01-01
149,country_35,ID_1226,2009-12-01
150,country_15,ID_913,1997-07-01
151,country_31,ID_2604,2022-05-01
152,country_42,ID_3178,2015-11-01
153,country_20,ID_1709,2006-06-01
154,country_22,ID_1920,2020-06-01
155,country_10,ID_888,2022-12-01
156,country_15,ID_945,2013-11-01
157,country_20,ID_1723,2022-07-01
158,country_21,ID_1841,2018-07-01
159,country_21,ID_1836,2010-09-01
160,country_35,ID_1194,2023-02-01
161,country_21,ID_1829,2012-10-01
162,country_21,ID_1884,2011-10-01
163,country_6,ID_498,2015-03-01
164,country_7,ID_696,2014-02-01
165,country_37,ID_621,2021-12-01
166,country_32,ID_2747,2012-08-01
167,country_18,ID_1623,2022-04-01
168,country_35,ID_1194,2015-02-01
169,country_16,ID_1457,2016-09-01
170,country_38,ID_3056,2000-11-01
171,country_22,ID_1944,2019-11-01
172,country_13,ID_1287,2014-02-01
173,country_18,ID_1630,2012-12-01
174,country_22,ID_1937,2014-09-01
175,country_16,ID_1453,2016-03-01
176,country_10,ID_874,1996-08-01
177,country_38,ID_3113,2023-06-01
178,country_15,ID_950,2017-08-01
179,country_42,ID_3165,2018-12-01
180,country_22,ID_1959,2017-05-01
181,country_35,ID_1237,2022-05-01
182,country_15,ID_951,2021-04-01
183,country_22,ID_1930,2014-09-01
184,country_13,ID_1293,2021-01-01
185,country_1,ID_195,2024-02-01
186,country_22,ID_1955,2022-11-01
187,country_6,ID_492,1998-11-01
188,country_37,ID_583,2009-04-01
189,country_38,ID_3113,2012-01-01
190,country_35,ID_1179,2021-06-01
191,country_18,ID_1657,2005-06-01
192,country_16,ID_1459,2014-09-01
193,country_22,ID_1918,2002-11-01
194,country_36,ID_2676,2014-07-01
195,country_15,ID_979,2022-09-01
196,country_34,ID_3331,2015-02-01
197,country_32,ID_2744,2012-04-01
198,country_18,ID_1661,2001-08-01
199,country_22,ID_1935,2021-05-01
200,country_35,ID_1156,1995-12-01
201,country_15,ID_944,2018-09-01
202,country_20,ID_1734,2024-05-01
203,country_42,ID_3201,2022-11-01
204,country_13,ID_1323,2018-06-01
205,country_15,ID_956,2018-11-01
206,country_22,ID_1923,2006-12-01
207,country_38,ID_3074,2014-11-01
208,country_20,ID_1734,2011-10-01
209,country_31,ID_2585,2026-02-01
210,country_4,ID_320,2013-11-01
211,country_22,ID_1935,2024-03-01
212,country_18,ID_1616,2003-04-01
213,country_4,ID_316,2016-07-01
214,country_4,ID_323,2005-04-01
215,country_1,ID_198,2019-11-01
216,country_1,ID_203,2018-06-01
217,country_38,ID_3081,2016-04-01
218,country_1,ID_216,2022-06-01
219,country_32,ID_2782,1990-04-01
220,country_38,ID_3050,1995-01-01
221,country_13,ID_1287,2022-11-01
223,country_15,ID_945,1996-08-01
224,country_42,ID_3178,2022-09-01
225,country_35,ID_1192,2022-03-01
226,country_38,ID_3076,2022-12-01
227,country_41,ID_3250,2014-01-01
228,country_21,ID_1845,2022-05-01
229,country_37,ID_591,2021-04-01
230,country_24,ID_2086,2016-07-01
231,country_16,ID_1478,2024-01-01
232,country_14,ID_1356,2021-04-01
233,country_41,ID_3221,2017-11-01
234,country_35,ID_1194,1999-08-01
235,country_41,ID_3225,1999-06-01
236,country_14,ID_1368,2018-11-01
237,country_21,ID_1835,2022-10-01
238,country_20,ID_1713,2024-04-01
239,country_38,ID_3113,2016-03-01
240,country_35,ID_1164,2006-07-01
241,country_22,ID_1920,2017-09-01
242,country_42,ID_3167,2007-03-01
243,country_20,ID_1736,2014-02-01
244,country_32,ID_2755,2011-10-01
245,country_21,ID_1878,2018-10-01
246,country_15,ID_936,2007-09-01
247,country_6,ID_496,2019-04-01
248,country_31,ID_2604,2018-04-01
249,country_16,ID_1453,2015-04-01
250,country_21,ID_1829,2009-10-01
251,country_37,ID_587,2018-10-01
252,country_13,ID_1287,2018-04-01
253,country_21,ID_1856,2024-09-01
254,country_16,ID_1501,2023-03-01
255,country_15,ID_979,2016-04-01
256,country_32,ID_2752,2015-02-01
257,country_15,ID_979,2017-10-01
258,country_41,ID_3244,2001-12-01
259,country_15,ID_913,2012-01-01
260,country_20,ID_1736,2015-11-01
261,country_41,ID_3225,1998-04-01
262,country_21,ID_1842,2015-06-01
263,country_14,ID_1405,2008-09-01
264,country_16,ID_1461,2023-07-01
265,country_35,ID_1202,2012-11-01
266,country_4,ID_316,2010-12-01
267,country_24,ID_2071,2013-03-01
268,country_6,ID_536,2014-02-01
269,country_35,ID_1174,2004-12-01
270,country_24,ID_2105,2019-08-01
271,country_14,ID_1369,2006-05-01
272,country_42,ID_3178,2023-12-01
273,country_14,ID_1375,2018-06-01
274,country_22,ID_1906,2002-09-01
275,country_1,ID_185,2018-03-01
276,country_33,ID_2869,2018-04-01
277,country_38,ID_3076,2023-03-01
278,country_40,ID_3015,2021-09-01
279,country_15,ID_932,2008-08-01
280,country_15,ID_950,2018-09-01
281,country_21,ID_1837,2022-06-01
282,country_16,ID_1476,2022-08-01
283,country_35,ID_1226,2018-07-01
284,country_1,ID_234,2008-10-01
285,country_38,ID_3069,2016-09-01
286,country_42,ID_3154,2013-11-01
287,country_10,ID_874,2022-08-01
288,country_21,ID_1832,2016-03-01
289,country_4,ID_334,2022-03-01
290,country_38,ID_3113,2020-10-01
291,country_42,ID_3180,2006-11-01
292,country_41,ID_3249,2021-07-01
293,country_31,ID_2595,2023-03-01
294,country_22,ID_1927,2016-02-01
295,country_38,ID_3069,2013-08-01
296,country_15,ID_950,2022-11-01
297,country_16,ID_1503,2014-04-01
298,country_6,ID_492,2000-05-01
300,country_4,ID_327,2019-12-01
301,country_15,ID_932,2012-06-01
302,country_1,ID_236,2015-08-01
303,country_6,ID_511,2006-02-01
304,country_15,ID_936,2009-09-01
305,country_41,ID_3249,2021-04-01
306,country_37,ID_572,2020-12-01
307,country_35,ID_1189,2001-08-01
308,country_38,ID_3081,2002-03-01
309,country_38,ID_3113,2021-04-01
310,country_14,ID_1391,2022-02-01
311,country_18,ID_1622,2012-09-01
312,country_15,ID_939,2014-04-01
313,country_13,ID_1293,2014-01-01
314,country_15,ID_939,2006-08-01
315,country_10,ID_833,2016-09-01
316,country_6,ID_514,2023-04-01
317,country_21,ID_1840,2021-10-01
318,country_29,ID_2431,2023-06-01
319,country_14,ID_1343,2019-01-01
320,country_20,ID_1734,2017-01-01
321,country_14,ID_1405,2019-03-01
322,country_31,ID_2585,2015-10-01
324,country_5,ID_445,2011-12-01
325,country_6,ID_510,2013-11-01
326,country_42,ID_3202,2023-12-01
327,country_20,ID_1734,2008-03-01
328,country_21,ID_1837,2022-07-01
329,country_20,ID_1703,2009-08-01
330,country_41,ID_3241,2021-02-01
331,country_21,ID_1848,2018-07-01
332,country_36,ID_2676,2018-02-01
333,country_38,ID_3069,2017-11-01
334,country_6,ID_497,2001-07-01
336,country_22,ID_1912,2013-09-01
337,country_15,ID_923,1995-06-01
338,country_18,ID_1656,1998-05-01
339,country_6,ID_498,2014-03-01
340,country_41,ID_3249,2016-12-01
341,country_21,ID_1820,2004-06-01
342,country_10,ID_854,2017-08-01
343,country_37,ID_566,2013-11-01
344,country_42,ID_3202,2025-01-01
345,country_38,ID_3069,2020-12-01
346,country_35,ID_1226,2016-09-01
347,country_24,ID_2105,2021-12-01
348,country_4,ID_347,2021-11-01
349,country_42,ID_3166,2014-01-01
350,country_38,ID_3053,2007-05-01
351,country_37,ID_593,2019-05-01
352,country_6,ID_501,2018-04-01
353,country_6,ID_501,2024-09-01
354,country_20,ID_1736,2022-07-01
355,country_38,ID_3062,2002-02-01
356,country_13,ID_1287,2002-06-01
357,country_21,ID_1848,2019-05-01
358,country_34,ID_3314,2015-03-01
359,country_20,ID_1710,2014-06-01
360,country_15,ID_951,2021-07-01
361,country_1,ID_236,2022-11-01
362,country_35,ID_1238,2015-08-01
363,country_13,ID_1293,2007-09-01
364,country_15,ID_979,2008-11-01
365,country_16,ID_1504,2017-04-01
366,country_37,ID_583,2014-07-01
367,country_37,ID_583,2020-06-01
368,country_6,ID_501,2009-07-01
369,country_35,ID_1164,2007-02-01
370,country_14,ID_1374,1996-07-01
371,country_20,ID_1709,2017-11-01
372,country_31,ID_2613,2014-11-01
373,country_6,ID_492,2010-10-01
374,country_35,ID_1188,2022-11-01
375,country_41,ID_3225,1999-06-01
376,country_14,ID_1366,2006-07-01
377,country_32,ID_2782,1990-01-01
378,country_42,ID_3158,2007-01-01
379,country_37,ID_583,2022-06-01
380,country_35,ID_1237,2014-03-01
381,country_2,ID_132,2015-07-01
382,country_24,ID_2105,2001-11-01
383,country_2,ID_132,2016-02-01
384,country_42,ID_3178,2021-11-01
385,country_20,ID_1703,2012-08-01
386,country_0,ID_66,2020-09-01
387,country_42,ID_3151,2002-02-01
388,country_30,ID_2527,2018-12-01
389,country_20,ID_1734,2020-12-01
390,country_4,ID_324,2011-09-01
391,country_32,ID_2775,2012-01-01
392,country_14,ID_1369,2014-11-01
393,country_2,ID_132,2013-05-01
394,country_16,ID_1476,2024-01-01
395,country_21,ID_1833,2015-11-01
396,country_38,ID_3062,2005-02-01
397,country_21,ID_1842,2018-04-01
398,country_20,ID_1734,2018-05-01
399,country_35,ID_1226,1999-06-01
400,country_20,ID_1709,2000-06-01
401,country_30,ID_2513,2006-05-01
402,country_22,ID_1906,2000-11-01
403,country_13,ID_1295,2023-03-01
404,country_6,ID_486,2006-11-01
405,country_35,ID_1176,2016-01-01
406,country_20,ID_1734,2016-11-01
407,country_16,ID_1491,2024-02-01
408,country_22,ID_1939,2014-07-01
409,country_20,ID_1703,2008-08-01
410,country_7,ID_696,2013-12-01
411,country_42,ID_3167,2013-12-01
412,country_21,ID_1842,2015-11-01
413,country_16,ID_1458,2019-11-01
414,country_32,ID_2755,2012-12-01
415,country_40,ID_3005,2024-01-01
416,country_6,ID_502,2021-05-01
418,country_22,ID_1930,2014-08-01
419,country_42,ID_3200,2021-07-01
420,country_24,ID_2105,2010-06-01
422,country_32,ID_2732,2018-05-01
423,country_15,ID_979,1998-07-01
424,country_4,ID_327,2018-09-01
425,country_15,ID_961,2020-12-01
426,country_14,ID_1387,2017-05-01
427,country_15,ID_945,2015-01-01
428,country_14,ID_1366,2008-05-01
429,country_38,ID_3111,2005-02-01
430,country_7,ID_678,2015-08-01
431,country_24,ID_2067,2013-11-01
432,country_38,ID_3113,2023-06-01
433,country_15,ID_988,2024-03-01
434,country_20,ID_1700,2014-10-01
435,country_35,ID_1237,2022-12-01
436,country_33,ID_2833,2019-02-01
437,country_26,ID_2183,2022-05-01
438,country_6,ID_531,1999-10-01
439,country_6,ID_490,1995-05-01
440,country_32,ID_2787,2015-11-01
441,country_6,ID_473,2003-10-01
442,country_14,ID_1369,1999-01-01
443,country_22,ID_1912,2020-02-01
444,country_21,ID_1854,2023-05-01
445,country_42,ID_3170,2017-01-01
446,country_16,ID_1494,2022-05-01
447,country_22,ID_1937,2017-03-01
448,country_24,ID_2089,2013-12-01
449,country_1,ID_234,2003-04-01
450,country_18,ID_1659,2012-02-01
451,country_4,ID_329,1999-05-01
452,country_16,ID_1445,2021-10-01
453,country_15,ID_988,2024-09-01
454,country_22,ID_1959,2019-10-01
455,country_21,ID_1858,2021-10-01
456,country_36,ID_2676,2023-08-01
457,country_21,ID_1854,2008-11-01
458,country_37,ID_582,2019-02-01
459,country_30,ID_2513,2021-09-01
460,country_33,ID_2869,2022-11-01
461,country_41,ID_3220,2002-09-01
463,country_35,ID_1180,2008-06-01
464,country_21,ID_1841,2018-07-01
465,country_6,ID_498,2011-03-01
466,country_42,ID_3178,2022-10-01
467,country_16,ID_1449,2014-02-01
468,country_22,ID_1912,2016-09-01
469,country_15,ID_959,2022-01-01
470,country_21,ID_1873,2022-09-01
471,country_18,ID_1657,2001-12-01
472,country_7,ID_660,2019-05-01
473,country_22,ID_1935,2018-12-01
475,country_31,ID_2605,2022-09-01
476,country_20,ID_1706,2014-04-01
477,country_16,ID_1457,2019-06-01
478,country_16,ID_1445,2014-02-01
479,country_22,ID_1937,2016-09-01
480,country_20,ID_1703,2007-07-01
482,country_4,ID_333,2002-09-01
483,country_15,ID_939,2018-01-01
484,country_0,ID_28,2014-02-01
485,country_13,ID_1323,2013-08-01
486,country_38,ID_3073,2020-07-01
487,country_16,ID_1458,2015-02-01
489,country_6,ID_496,2008-10-01
490,country_22,ID_1939,2018-02-01
491,country_35,ID_1236,2021-12-01
492,country_10,ID_872,2021-04-01
493,country_6,ID_536,2023-12-01
494,country_4,ID_320,2010-04-01
495,country_1,ID_209,2020-09-01
496,country_16,ID_1476,2022-04-01
498,country_14,ID_1369,2001-12-01
499,country_35,ID_1200,2011-02-01
500,country_4,ID_321,1998-05-01
501,country_29,ID_2432,2017-12-01
502,country_16,ID_1491,2025-01-01
503,country_14,ID_1391,2022-03-01
505,country_32,ID_2754,2021-05-01
506,country_36,ID_2711,2018-09-01
507,country_18,ID_1618,2011-12-01
508,country_0,ID_66,2021-10-01
509,country_15,ID_988,2023-05-01
510,country_18,ID_1630,2004-02-01
511,country_21,ID_1837,2009-04-01
512,country_36,ID_2711,2003-01-01
513,country_35,ID_1203,2021-11-01
514,country_16,ID_1447,2023-06-01
515,country_21,ID_1843,2016-04-01
517,country_41,ID_3242,2012-12-01
518,country_41,ID_3220,2017-08-01
519,country_15,ID_932,2015-06-01
521,country_16,ID_1469,2023-09-01
522,country_38,ID_3098,2015-09-01
523,country_35,ID_1169,2022-03-01
524,country_40,ID_3009,2020-04-01
525,country_42,ID_3202,2016-08-01
526,country_14,ID_1403,2023-06-01
527,country_34,ID_3363,2018-10-01
528,country_34,ID_3337,2001-10-01
529,country_38,ID_3113,2027-04-01
530,country_15,ID_963,2019-02-01
531,country_14,ID_1407,2022-12-01
532,country_16,ID_1478,2021-10-01
533,country_41,ID_3259,2018-12-01
534,country_15,ID_944,2015-02-01
535,country_35,ID_1194,2014-04-01
536,country_35,ID_1226,2022-09-01
537,country_14,ID_1369,2019-02-01
538,country_37,ID_593,2022-09-01
539,country_14,ID_1352,2011-12-01
540,country_15,ID_937,2017-05-01
541,country_4,ID_328,2021-12-01
542,country_20,ID_1736,2020-10-01
543,country_35,ID_1156,1997-08-01
544,country_6,ID_498,2013-07-01
545,country_21,ID_1834,2015-01-01
546,country_35,ID_1225,2021-10-01
547,country_15,ID_932,2014-09-01
548,country_22,ID_1918,2002-09-01
549,country_16,ID_1491,2022-07-01
550,country_38,ID_3081,2019-06-01
551,country_21,ID_1878,2024-10-01
552,country_35,ID_1200,2015-11-01
553,country_10,ID_866,2022-09-01
554,country_22,ID_1957,2011-04-01
555,country_22,ID_1920,2010-03-01
556,country_30,ID_2511,2014-04-01
558,country_22,ID_1939,2015-06-01
559,country_15,ID_963,2019-09-01
560,country_21,ID_1873,2009-01-01
561,country_37,ID_566,2007-06-01
562,country_32,ID_2777,1987-12-01
563,country_41,ID_3282,2014-02-01
564,country_41,ID_3225,1995-08-01
565,country_18,ID_1622,2008-10-01
566,country_35,ID_1194,2019-05-01
567,country_35,ID_1201,2020-01-01
568,country_21,ID_1811,1999-03-01
569,country_36,ID_2682,2014-11-01
571,country_9,ID_817,2019-10-01
572,country_13,ID_1294,2021-09-01
573,country_38,ID_3112,1994-01-01
574,country_6,ID_508,2023-04-01
575,country_30,ID_2545,2002-12-01
576,country_32,ID_2792,2013-07-01
577,country_35,ID_1200,2022-11-01
578,country_1,ID_204,2022-03-01
579,country_4,ID_316,2010-03-01
580,country_20,ID_1704,2014-07-01
581,country_10,ID_872,2016-03-01
582,country_41,ID_3251,2021-07-01
583,country_18,ID_1636,2022-12-01
584,country_5,ID_445,2003-06-01
585,country_21,ID_1833,2015-01-01
587,country_42,ID_3165,2013-11-01
588,country_38,ID_3113,2027-06-01
589,country_29,ID_2437,2016-05-01
590,country_1,ID_203,2024-03-01
591,country_32,ID_2748,2014-10-01
592,country_6,ID_483,2017-12-01
593,country_6,ID_537,2016-01-01
594,country_4,ID_320,2008-01-01
595,country_16,ID_1429,2001-09-01
596,country_13,ID_1287,2013-10-01
597,country_2,ID_125,2023-06-01
598,country_30,ID_2545,2005-09-01
599,country_14,ID_1379,2021-07-01
600,country_21,ID_1823,2023-07-01
601,country_35,ID_1188,2015-02-01
602,country_22,ID_1941,2018-10-01
603,country_36,ID_2676,2002-05-01
604,country_21,ID_1841,2010-06-01
605,country_42,ID_3152,1995-10-01
606,country_1,ID_213,2014-05-01
607,country_15,ID_939,2020-08-01
609,country_33,ID_2858,2020-11-01
610,country_13,ID_1293,2010-03-01
611,country_21,ID_1813,1999-03-01
613,country_35,ID_1166,2013-06-01
614,country_38,ID_3113,2024-09-01
615,country_32,ID_2748,2011-01-01
616,country_21,ID_1843,2015-06-01
617,country_35,ID_1190,2015-07-01
618,country_15,ID_950,2014-01-01
620,country_33,ID_2836,2019-09-01
621,country_13,ID_1323,2009-08-01
622,country_1,ID_198,2021-05-01
623,country_15,ID_944,2009-03-01
624,country_20,ID_1734,2002-06-01
625,country_4,ID_334,2022-11-01
627,country_38,ID_3107,1998-10-01
628,country_9,ID_822,2019-04-01
629,country_30,ID_2513,2018-04-01
630,country_10,ID_875,2019-07-01
631,country_14,ID_1405,2005-02-01
632,country_24,ID_2085,2022-04-01
633,country_38,ID_3067,2009-01-01
634,country_6,ID_500,2022-08-01
635,country_4,ID_340,2017-07-01
636,country_14,ID_1369,1998-04-01
637,country_20,ID_1709,2014-04-01
638,country_34,ID_3331,2012-05-01
639,country_30,ID_2500,2021-12-01
640,country_6,ID_501,2004-05-01
641,country_35,ID_1181,2014-11-01
643,country_14,ID_1405,2023-11-01
644,country_16,ID_1463,2020-07-01
645,country_24,ID_2105,2018-11-01
647,country_15,ID_943,2020-03-01
648,country_10,ID_888,2022-06-01
649,country_2,ID_130,2015-10-01
650,country_18,ID_1609,1999-10-01
651,country_41,ID_3250,2014-07-01
652,country_35,ID_1201,2012-01-01
653,country_38,ID_3076,2019-11-01
654,country_21,ID_1848,2001-03-01
655,country_20,ID_1710,2015-07-01
656,country_21,ID_1835,2021-03-01
657,country_21,ID_1860,2009-09-01
658,country_29,ID_2440,2020-10-01
659,country_15,ID_936,2007-11-01
660,country_21,ID_1858,2021-05-01
661,country_21,ID_1848,2005-10-01
662,country_20,ID_1710,2006-09-01
663,country_2,ID_124,2021-07-01
664,country_37,ID_627,2022-10-01
665,country_14,ID_1407,2022-01-01
666,country_4,ID_329,2001-06-01
667,country_37,ID_628,2015-07-01
668,country_6,ID_501,2012-01-01
669,country_35,ID_1182,2007-02-01
670,country_13,ID_1308,2022-05-01
671,country_22,ID_1925,2018-08-01
673,country_37,ID_583,2007-10-01
674,country_42,ID_3202,2021-03-01
675,country_6,ID_490,2011-02-01
676,country_25,ID_2236,2023-10-01
677,country_14,ID_1392,2021-05-01
678,country_15,ID_937,1990-12-01
679,country_14,ID_1405,2003-08-01
680,country_22,ID_1937,2018-12-01
681,country_10,ID_868,2017-01-01
682,country_14,ID_1369,2013-10-01
683,country_24,ID_2067,2018-11-01
684,country_16,ID_1445,2017-04-01
685,country_35,ID_1194,2021-12-01
686,country_35,ID_1166,1996-01-01
687,country_4,ID_365,2018-07-01
688,country_14,ID_1367,2007-01-01
690,country_34,ID_3344,2000-08-01
691,country_24,ID_2087,2011-09-01
692,country_21,ID_1842,2015-03-01
693,country_18,ID_1631,2016-02-01
694,country_35,ID_1176,2007-09-01
695,country_7,ID_696,2009-09-01
696,country_4,ID_364,2008-05-01
697,country_29,ID_2424,2019-03-01
698,country_14,ID_1375,2014-02-01
699,country_38,ID_3116,2023-12-01
700,country_41,ID_3236,2001-11-01
701,country_35,ID_1157,2003-04-01
702,country_6,ID_491,2018-04-01
703,country_20,ID_1709,1997-03-01
704,country_15,ID_988,2012-11-01
705,country_11,ID_1055,2022-10-01
706,country_20,ID_1710,2005-06-01
707,country_20,ID_1707,2010-05-01
708,country_37,ID_627,2022-10-01
709,country_14,ID_1367,2000-12-01
710,country_30,ID_2513,2015-03-01
711,country_35,ID_1190,2001-03-01
712,country_41,ID_3258,2012-06-01
713,country_42,ID_3197,2022-03-01
714,country_37,ID_597,2021-05-01
715,country_31,ID_2628,2023-05-01
716,country_35,ID_1182,2010-11-01
717,country_18,ID_1656,2005-04-01
718,country_4,ID_364,2014-12-01
719,country_34,ID_3340,2023-03-01
720,country_21,ID_1833,2006-07-01
721,country_42,ID_3138,2019-01-01
722,country_22,ID_1940,2020-05-01
723,country_22,ID_1959,2019-12-01
724,country_35,ID_1201,2015-08-01
725,country_1,ID_198,2017-01-01
726,country_22,ID_1934,2019-01-01
727,country_21,ID_1835,2009-02-01
728,country_6,ID_492,2019-11-01
729,country_37,ID_583,1996-08-01
730,country_41,ID_3259,2015-11-01
731,country_4,ID_327,2016-06-01
732,country_6,ID_514,2022-02-01
733,country_14,ID_1405,2021-03-01
734,country_38,ID_3077,2012-08-01
735,country_4,ID_315,2011-08-01
736,country_15,ID_934,2020-03-01
737,country_15,ID_944,1998-06-01
738,country_35,ID_1205,2022-07-01
740,country_20,ID_1706,2022-09-01
741,country_4,ID_323,2013-09-01
742,country_36,ID_2676,2019-08-01
744,country_24,ID_2088,2013-11-01
745,country_18,ID_1618,2009-02-01
746,country_31,ID_2585,2025-05-01
747,country_32,ID_2738,1990-10-01
748,country_14,ID_1362,2008-08-01
749,country_14,ID_1405,2014-09-01
750,country_10,ID_851,2014-05-01
751,country_18,ID_1661,2002-09-01
752,country_38,ID_3108,2005-06-01
753,country_32,ID_2732,1996-10-01
754,country_32,ID_2781,2012-07-01
755,country_35,ID_1188,2018-12-01
756,country_21,ID_1829,2008-07-01
757,country_21,ID_1835,2011-11-01
758,country_16,ID_1457,2022-08-01
759,country_4,ID_333,2018-10-01
761,country_35,ID_1156,2000-12-01
762,country_36,ID_2682,2022-07-01
763,country_42,ID_3158,2008-06-01
764,country_42,ID_3171,2023-01-01
765,country_30,ID_2559,2019-12-01
766,country_33,ID_2848,2021-04-01
767,country_4,ID_333,2018-08-01
768,country_16,ID_1459,2014-09-01
769,country_18,ID_1629,2003-05-01
770,country_35,ID_1203,2021-05-01
771,country_4,ID_329,2013-11-01
772,country_2,ID_130,2011-12-01
773,country_21,ID_1829,2014-08-01
774,country_21,ID_1834,2000-04-01
775,country_41,ID_3221,2006-03-01
